listType,meanTime
or,9.33
or,12.17
un,9.5
un,45.17
or,25.33
or,32.33
un,16.33
un,35.83
or,3
or,4.67
un,1.5
un,3.17
or,5.17
or,4.33
un,10.17
un,4.17
or,33.83
or,31.5
un,46.67
un,65.17
or,16
or,21.83
un,62.17
un,46
or,2.5
or,15.83
un,8.5
un,19.33
or,15
or,6.17
un,37.67
un,64.17
or,6.83
or,17
un,13.67
un,7.5
or,11.67
or,4.33
un,5.5
un,32
or,4.5
or,42.17
un,48.33
un,24.67
or,3
or,9.33
un,44
un,82.5
or,49.83
or,69.67
un,66.17
un,9.17
or,3.33
or,1.83
un,45.17
un,14.17
or,4.5
or,81.83
un,8.5
un,50
or,21.33
or,52.83
un,56
un,124.5
or,41.67
or,42.5
un,43.5
un,84.33
or,1.5
or,2.67
un,7.83
un,12.67
or,28.83
or,2.17
un,2.17
un,4.5
or,13
or,8.67
un,10.83
un,4.5
or,2.83
or,7.67
un,6.83
un,50.67
or,7.17
or,9.83
un,7
un,4.67
or,35.67
or,69.83
un,12.17
un,7.83
or,4
or,7.33
un,44.17
un,38
or,42.83
or,14
un,7.5
un,8.33
or,5.67
or,8.5
un,29.67
un,20.5
or,3.33
or,2.33
un,6.5
un,3.17
or,8
or,11.17
un,25.83
un,63.17
or,47
or,33.67
un,81.33
un,89.33
or,47.33
or,21.83
un,28.83
un,40
or,6.67
or,2.5
un,2.33
un,10
or,36.33
or,63.67
un,21.83
un,74
