participant,format,problemSize,numCompleted
1,digits,small,14
2,digits,small,13
3,words,small,13
4,words,small,10
5,digits,small,13
6,digits,small,10
7,words,small,10
8,words,small,12
9,digits,small,18
10,digits,small,12
11,words,small,12
12,words,small,13
13,digits,small,16
14,digits,small,16
15,words,small,15
16,words,small,9
17,digits,small,19
18,digits,small,21
19,words,small,13
20,words,small,16
21,digits,small,12
22,digits,small,18
23,words,small,12
24,words,small,9
25,digits,small,26
26,digits,small,20
27,words,small,10
28,words,small,18
29,digits,small,16
30,digits,small,24
31,words,small,12
32,words,small,10
33,digits,small,24
34,digits,small,22
35,words,small,12
36,words,small,13
37,digits,small,24
38,digits,small,17
39,words,small,15
40,words,small,11
41,digits,small,18
42,digits,small,19
43,words,small,15
44,words,small,10
45,digits,small,23
46,digits,small,21
47,words,small,11
48,words,small,15
49,digits,small,16
50,digits,small,26
51,words,small,10
52,words,small,10
53,digits,small,18
54,digits,small,23
55,words,small,12
56,words,small,13
57,digits,small,13
58,digits,small,19
59,words,small,14
60,words,small,11
61,digits,small,14
62,digits,small,13
63,words,small,13
64,words,small,8
65,digits,small,13
66,digits,small,16
67,words,small,14
68,words,small,14
69,digits,small,11
70,digits,small,19
71,words,small,10
72,words,small,16
73,digits,small,15
74,digits,small,11
75,words,small,13
76,words,small,20
77,digits,small,16
78,digits,small,13
79,words,small,9
80,words,small,13
81,digits,small,26
82,digits,small,23
83,words,small,17
84,words,small,13
85,digits,small,17
86,digits,small,21
87,words,small,17
88,words,small,15
89,digits,small,23
90,digits,small,22
91,words,small,15
92,words,small,20
93,digits,small,10
94,digits,small,12
95,words,small,22
96,words,small,12
97,digits,small,16
98,digits,small,13
99,words,small,11
100,words,small,16
101,digits,small,21
102,digits,small,9
103,words,small,9
104,words,small,28
105,digits,small,19
106,digits,small,16
107,words,small,13
108,words,small,13
109,digits,small,21
110,digits,small,21
111,words,small,11
112,words,small,5
113,digits,small,11
114,digits,small,17
115,words,small,16
116,words,small,9
117,digits,small,21
118,digits,small,22
119,words,small,11
120,words,small,12
121,digits,small,10
122,digits,small,31
123,words,small,16
124,words,small,12
125,digits,small,19
126,digits,small,16
127,words,small,13
128,words,small,9
129,digits,small,17
130,digits,small,16
131,words,small,10
132,words,small,10
133,digits,small,20
134,digits,small,7
135,words,small,6
136,words,small,14
137,digits,small,19
138,digits,small,14
139,words,small,16
140,words,small,16
141,digits,small,27
142,digits,small,16
143,words,small,12
144,words,small,17
145,digits,small,21
146,digits,small,20
147,words,small,10
148,words,small,17
149,digits,small,24
150,digits,small,17
151,words,small,13
152,words,small,13
153,digits,small,28
154,digits,small,20
155,words,small,14
156,words,small,16
157,digits,small,7
158,digits,small,11
159,words,small,10
160,words,small,18
161,digits,small,19
162,digits,small,11
163,words,small,17
164,words,small,14
165,digits,small,16
166,digits,small,17
167,words,small,14
168,words,small,21
169,digits,small,16
170,digits,small,19
171,words,small,18
172,words,small,10
173,digits,small,16
174,digits,small,18
175,words,small,9
176,words,small,16
1,digits,large,8
2,digits,large,9
3,words,large,14
4,words,large,5
5,digits,large,9
6,digits,large,18
7,words,large,7
8,words,large,16
9,digits,large,10
10,digits,large,5
11,words,large,7
12,words,large,9
13,digits,large,4
14,digits,large,12
15,words,large,8
16,words,large,8
17,digits,large,11
18,digits,large,13
19,words,large,11
20,words,large,11
21,digits,large,4
22,digits,large,8
23,words,large,6
24,words,large,3
25,digits,large,18
26,digits,large,15
27,words,large,2
28,words,large,10
29,digits,large,13
30,digits,large,16
31,words,large,5
32,words,large,4
33,digits,large,12
34,digits,large,15
35,words,large,8
36,words,large,9
37,digits,large,15
38,digits,large,6
39,words,large,12
40,words,large,8
41,digits,large,10
42,digits,large,14
43,words,large,9
44,words,large,10
45,digits,large,12
46,digits,large,13
47,words,large,5
48,words,large,10
49,digits,large,8
50,digits,large,17
51,words,large,7
52,words,large,11
53,digits,large,10
54,digits,large,14
55,words,large,10
56,words,large,7
57,digits,large,5
58,digits,large,13
59,words,large,6
60,words,large,6
61,digits,large,11
62,digits,large,4
63,words,large,7
64,words,large,7
65,digits,large,6
66,digits,large,10
67,words,large,5
68,words,large,9
69,digits,large,6
70,digits,large,14
71,words,large,10
72,words,large,12
73,digits,large,6
74,digits,large,5
75,words,large,8
76,words,large,12
77,digits,large,8
78,digits,large,6
79,words,large,7
80,words,large,7
81,digits,large,16
82,digits,large,14
83,words,large,9
84,words,large,8
85,digits,large,8
86,digits,large,16
87,words,large,9
88,words,large,11
89,digits,large,17
90,digits,large,13
91,words,large,6
92,words,large,14
93,digits,large,11
94,digits,large,11
95,words,large,17
96,words,large,11
97,digits,large,7
98,digits,large,7
99,words,large,7
100,words,large,10
101,digits,large,17
102,digits,large,6
103,words,large,6
104,words,large,20
105,digits,large,12
106,digits,large,8
107,words,large,5
108,words,large,6
109,digits,large,21
110,digits,large,14
111,words,large,7
112,words,large,5
113,digits,large,10
114,digits,large,11
115,words,large,11
116,words,large,3
117,digits,large,11
118,digits,large,14
119,words,large,9
120,words,large,7
121,digits,large,5
122,digits,large,20
123,words,large,12
124,words,large,4
125,digits,large,8
126,digits,large,10
127,words,large,10
128,words,large,9
129,digits,large,6
130,digits,large,6
131,words,large,8
132,words,large,4
133,digits,large,11
134,digits,large,8
135,words,large,4
136,words,large,18
137,digits,large,15
138,digits,large,5
139,words,large,9
140,words,large,10
141,digits,large,17
142,digits,large,11
143,words,large,10
144,words,large,9
145,digits,large,0
146,digits,large,0
147,words,large,1
148,words,large,3
149,digits,large,13
150,digits,large,14
151,words,large,8
152,words,large,7
153,digits,large,23
154,digits,large,12
155,words,large,11
156,words,large,10
157,digits,large,9
158,digits,large,7
159,words,large,10
160,words,large,9
161,digits,large,8
162,digits,large,7
163,words,large,16
164,words,large,9
165,digits,large,10
166,digits,large,11
167,words,large,10
168,words,large,19
169,digits,large,9
170,digits,large,8
171,words,large,6
172,words,large,6
173,digits,large,8
174,digits,large,17
175,words,large,3
176,words,large,14
