encodingCue,retrievalCue,correctRecall
present,present,22
absent,present,11
present,absent,24
absent,absent,8
present,present,11
absent,present,21
present,absent,8
absent,absent,7
present,present,16
absent,present,20
present,absent,13
absent,absent,10
present,present,5
absent,present,6
present,absent,4
absent,absent,4
present,present,8
absent,present,9
present,absent,15
absent,absent,12
present,present,3
absent,present,9
present,absent,10
absent,absent,10
present,present,15
absent,present,14
present,absent,8
absent,absent,10
present,present,16
absent,present,7
present,absent,10
absent,absent,5
present,present,13
absent,present,10
present,absent,8
absent,absent,15
present,present,9
absent,present,8
present,absent,12
absent,absent,10
present,present,16
absent,present,12
present,absent,12
absent,absent,12
present,present,19
absent,present,15
present,absent,19
absent,absent,12
present,present,22
absent,present,7
present,absent,18
absent,absent,22
present,present,18
absent,present,10
present,absent,13
absent,absent,7
present,present,12
absent,present,18
present,absent,14
absent,absent,16
present,present,16
absent,present,13
present,absent,10
absent,absent,9
present,present,15
absent,present,5
present,absent,6
absent,absent,9
present,present,20
absent,present,12
present,absent,14
absent,absent,11
present,present,7
absent,present,10
present,absent,12
absent,absent,9
present,present,19
absent,present,18
present,absent,8
absent,absent,4
present,present,20
absent,present,15
present,absent,13
absent,absent,10
present,present,16
absent,present,13
present,absent,9
absent,absent,14
present,present,2
absent,present,13
present,absent,10
absent,absent,6
present,present,19
absent,present,8
present,absent,15
absent,absent,12
present,present,15
absent,present,14
present,absent,6
absent,absent,9
present,present,14
absent,present,8
present,absent,13
absent,absent,6
present,present,5
absent,present,11
present,absent,7
absent,absent,10
present,present,19
absent,present,13
present,absent,8
absent,absent,12
present,present,20
absent,present,11
present,absent,9
absent,absent,11
present,present,4
absent,present,9
present,absent,7
absent,absent,5
present,present,13
absent,present,11
present,absent,9
absent,absent,9
present,present,22
absent,present,13
present,absent,15
absent,absent,11
present,present,22
absent,present,15
present,absent,18
absent,absent,8
present,present,15
absent,present,19
present,absent,15
absent,absent,20
present,present,13
absent,present,20
present,absent,21
absent,absent,18
present,present,19
absent,present,21
present,absent,12
absent,absent,17
present,present,21
absent,present,9
present,absent,16
absent,absent,17
present,present,23
absent,present,19
present,absent,21
absent,absent,15
present,present,13
absent,present,16
present,absent,14
absent,absent,9
present,present,6
absent,present,7
present,absent,12
absent,absent,6
present,present,15
absent,present,19
present,absent,11
absent,absent,6
present,present,16
absent,present,6
present,absent,7
absent,absent,13
present,present,22
absent,present,16
present,absent,14
absent,absent,19
present,present,20
absent,present,22
present,absent,12
absent,absent,15
present,present,12
absent,present,4
present,absent,9
absent,absent,6
present,present,15
absent,present,12
present,absent,17
absent,absent,7
